id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
203937286,8326777294921,"Kem tẩy trắng, làm sạch giày da, ba lô, túi sách  Thành phần chính: Chiết xuất thực vật, chất hoạt động bề mặt không phân hủy, sáp tự nhiên, Sub - oil glycerin, Kaisong Anti - pine.Công dụng: làm sạ...",12000,30700,,18700,61,0,,available,,1000,1000,,111461,OEM
104267648,6108425536474,"DÉP KẸP NỮ, DÉP XỎ NGÓN, TÔNG NỮ ĐI BIỂN, DÉP NỮDép này mà đi biển hoặc đi dạo phố thì ko còn gì tuyệt vời hơn ạ. Đi trong văn phòng cũng ok nha các chị emQuai lụa siêu êm, siêu mềm, ko lo đau hay phỏ...",68000,68000,,0,0,8,,available,,1000,1000,,111461,OEM
83480711,6636879002039,"Khi mang giày cao gót, bàn chân luôn bị trượt về phía trước dẫn đến bị tuột phía gót mà phía mũi lại bị chật.Gót giày cao đem đến vóc dáng đẹp hơn cho người mang nhưng đồng thời tạo áp lực lớn lên ...",25000,29000,,4000,14,25,,available,,1000,1000,,496813,buybox
77715686,2048679588393,"Giày cao gót thật quyến rũ và cũng thật ""Đau Đớn"" đối với đôi bàn chân. Không ít trường hợp bị đau bàn chân và các ngón chân khi mũi giày chịu tải trọng của toàn cơ thể. Đi lâu ngày lót theo giày b...",30000,30000,,0,0,22,,available,,1000,1000,,496813,buybox
273280745,9363346733453,"Dép Cao Gót Nữ sản phẩm được thiết kế bền đẹp kết hợp đế cao su êm nhẹ giúp bạn Nữ luôn thoải mái, tự tin khi đi chơi, dạo phố, đi làm nơi công sở hay đi dự tiệc.Được làm Bằng chất liệu da bò thậ...",379000,500000,,121000,24,1,,available,,1000,1000,,221061,BIGGBEN
252571255,1195791774165,"Dép Bánh Mỳ 2 Quai ngang 9CM XOD470-211✪✪✪ Kích THƯỚC: 35-39Size 35 = chiều dài chân 22,5 CM; 36 = 23,0 CM; 37 = 23,5 CM; 38 = 24,0 CM; 39 = 24,5 CM LƯU Ý: Sản phẩm có form chuẩn hoặc hơi rộng. Ví...",470000,599000,,129000,22,1,,available,,1000,1000,,111461,OEM
230008123,7733325649999,"Dép Quai Ngang Hoạ Tiết Gấu Cho Nữ Đi Trong Nhà, Văn Phòng Siêu Dễ Thương. Đế Cao 3.5CM, Chống Trơn Trượt. Chất Liệu Sợi Lanh Thoáng Khí, Êm Chân, Thoải Mãi. Thích Hợp Sử Dụng Cũng Như Làm Quà Tặng Ch...",155000,155000,,0,0,3,,available,,1000,1000,,111461,OEM
159437972,2081600257539,"       Tư vấn chọn size dép: khách nên đặt LỚN HƠN 1 SIZE so với size dép thông thường   Ví dụ:   + Khách đang mang size 40, đặt size dép 40-41   + Khách đang mang size 41, đặt size dép 42-43 ...",49000,49000,,0,0,11,,available,,1000,1000,,111461,OEM
128086059,4460426366704,       Nút bọc đế giày cao gót   - Chống trượt bọc gót nhằm đảm bảo cho bước đi của bạn thêm vững vàng và tự tin.   - Giữ cho gót giày được bền hơn không bị bào mòn và trầy xước rất xấu xí.   -...,19000,19000,,0,0,21,,available,,1000,1000,,111461,OEM
184955659,8810191464435,- Lót sử dụng thay thế cho các sản phẩm giày bóng đá Mizuno.- Sản phẩm có thể vừa với mọi dòng sản phẩm Mizuno trên thị trường.- Lót có các size: M - 39/40L - 41/42O - 43...,80000,80000,,0,0,24,,available,,1000,1000,,158523,Mizuno
242064478,6258193250766,"Dép xỏ ngón nữ Skechers Go Walk 5 Foamies - 111289-LILĐặc điểm nổi bật: Nơi sản xuất: Hàng sản xuất ở nước thứ 3 tùy từng lô hàng (Việt Nam, Trung Quốc, Ấn Độ, C)Hướng dẫn bảo quản:• Hạn chế không ...",990000,990000,,0,0,1,,available,,1000,1000,,204735,Skechers
67725628,6438095072161,"Thông tin sản phẩmChất liệu: 100% cao su tự nhiênSandal quai kẹp nữ Flash Urban là một trong những dòng sản phẩm lấy cảm hứng từ các xu hướng ""hot"" nhất với thiết kết sandal quai kẹp thanh lịch. Giày...",599000,599000,,0,0,1,,available,,1000,1000,,516547,Havaianas
103330485,4478235157771,"       Hi everyone !   + Các bạn chân dài 21 đến 22 cm thì đi size 35   + Các bạn chân dài 22.5 đến 23 cm thì đi size 36   + C- Giao hàng tại nhà, Thanh toán tại nhà, nhanh chóng, tiện dụng   ...",145000,145000,,0,0,42,,available,,1000,1000,,111461,OEM
96074857,6388744766984,"       HT STORE CHẤT LƯỢNG rất vui được phục vụ bạn!   1./ Thông tin sản phẩm: GIÀY LƯỜI NỮ, Giày Moca giày nhựa đi mưa nhiều màu đi cực êm chân, trẻ trung và năng động   ● Giày lười nữ, năng đ...",99000,99000,,0,0,11,,available,,1000,1000,,5196303,HT Sports
46760225,8649411911813,"Giày cao gót thật quyến rũ và cũng thật ""Đau Đớn"" đối với đôi bàn chân.Không ít trường hợp bị trầy da chảy máu, chai sần da gót sau, thốn gót chân, thậm chí để lại sẹo.Từ nay không còn phải lo lắng ...",58000,100000,,42000,42,37,,available,,1000,1000,,496813,buybox
242075788,3079063576089,"Dép Cá Hề Nemo cho nam và nữ siêu nhẹ  FREESHIP dép đi trong nhà, ngoài trời siêu nhẹ đáng yêu cho người lớn ĐẶC ĐIỂM Dép đi trong nhà trẻ trung năng động hợp thời trang Đế Dày 3.5cm ● Tình trạng: Sản...",59000,59000,,0,0,7,,available,,1000,1000,,111461,OEM
50493445,6948868501939,Giày sneaker thể thao nữ buộc dây siêu nhẹ V223Size 35 phù hợp chiều dài Giày dép là 22.5 cmSize 36 phù hợp chiều dài Giày dép là 23.0 cmSize 37 phù hợp chiều dài Giày dép là 23.5 cmSize 38 phù hợp ch...,54000,54000,,0,0,22,,available,,1000,1000,,111461,OEM
72640100,6750159056581,"Dép Bông Đi Trong Nhà Cao Cấp Phong Cách Hàn Quốc - Hàng Nhập Khẩu Dép bông đi trong nhà siêu ấm, cực hữu ích cho bạn trong mùa đông nàyThiết kế sang trọng hiện đại, phong cách Hàn Quốc trẻ trungLớp...",80000,80000,,0,0,331,,available,,1000,1000,,549763,YORN
128087865,7175285796707,"Nút bọc đế giày cao gót, ĐẾ GIÀY KHIÊU VŨ- Chống trượt bọc gót nhằm đảm bảo cho bước đi của bạn thêm vững vàng và tự tin.- Giữ cho gót giày được bền hơn không bị bào mòn và trầy xước rất xấu xí.- T...",19000,19000,,0,0,2,,available,,1000,1000,,111461,OEM
79558697,3769586881670,Giầy lười nữ vải đẹp đi bộ êm chân giầy slip on vải đế mềm V276Size 35 phù hợp chiều dài Giày dép là 22.5 cmSize 36 phù hợp chiều dài Giày dép là 23.0 cmSize 37 phù hợp chiều dài Giày dép là 23.5 c...,69000,69000,,0,0,14,,available,,1000,1000,,111461,OEM
198741259,2401115095473,Được làm Bằng chất liệu Da Bò Thật 100% .Sandal Nữ được xử lý đặc biệt để tạo Phong cách trẻ trung và Nữ tính.Bạn có thể kết hợp với các loại trang phục hằng ngày tùy theo sở thích và phong các...,329000,400000,,71000,18,4,,available,,1000,1000,,221061,BIGGBEN
14185514,7192514070860,"Gót chân của bạn đang bị nứt vì bạn thường đi chân đất có nhiều trường hợp gót chân bị nứt dẫn đến chảy máu, không sử dụng dép trong nhà dẫn đến xương gót chân sẽ bị nhức khi di chuyển quá nhiều. - Sả...",35000,35000,,0,0,6,,available,,1000,1000,,111461,OEM
22968792,6016667904104,"Sandal Nữ với chất liệu Da Bò bền đẹp kết hợp đế êm nhẹ chống trơn trượt giúp bạn Nữ luôn thoải mái, tự tin khi đi chơi, dạo phố, đi làm nơi công sở hay đi dự tiệc.Sandal Nữ được xử lý đặc biệt để tạ...",339000,420000,,81000,19,62,,available,,1000,1000,,221061,BIGGBEN
104438755,3220191082611,"        Nhấn THEO DÕI shop để nhanh chóng cập nhật những sản phẩm, thông tin và chương trình khuyến mãi mới từ shop nhé.   GIẦY NHỰA ĐI MƯA THOÁNG ĐẸP RẺ    Lớp cao su mềm không bị đau xướt chân...",51000,51000,,0,0,12,,available,,1000,1000,,5196303,HT Sports
155527245,9497994804445,"        KHI ĐẶT HÀNG, CẢM PHIỀN QUÝ KHÁCH ĐẶT ĐÚNG PHÂN LOẠI (NẾU CÓ) GIÚP SHOP NHÉ !    NẾU KHÔNG CÓ PHÂN LOẠI HÀNG SHOP XIN PHÉP ĐƯỢC GIAO MÀU NGẪU NHIÊN !   ----------------------------------...",69000,77000,,8000,10,0,,available,,1000,1000,,111461,OEM
273052383,8819789499183,Thương Hiệu : BIGBENChất Liệu :Da bò thật 100%Kích Thước :từ 35 đến 40Đế Đúc Cao : 2 cmSản phẩm được bảo hành 1 nămHướng dẫn chọn size: HƯỚNG DẪN BẢO QUẢNBảo quản nơi thoáng mátTrá...,309000,400000,,91000,23,0,,available,,1000,1000,,221061,BIGGBEN
174538218,3105989445720,"Trúc xinh trúc mọc đầu đìép xinh dép đứng 1 mình vẫn xinh Dép bánh mì đúc nguyên khối đế cao đi siêu êm màu sắc đẹp độc lạ THÔNG TIN SẢN PHẨM:- Chất liệu: EVA có tính đàn hồi, mềm và dẻo dai như ca...",65000,65000,,0,0,0,,available,,1000,1000,,111461,OEM
105524509,2597833321961,"       Mang trên mình tất cả những yếu tố tiện lợi của giày hướng tới những ai   yêu thích sự trẻ trung, năng động, với thiết kế chắc chắn, ôm gọn và không kém phần thoải mái khi đi.   môt đôi g...",99000,170000,,71000,42,4,,available,,1000,1000,,111461,OEM
56884017,8094793066475,Giày thể thao nữ thời trang mới nhất 245Size 35 phù hợp chiều dài Giày dép là 22.5 cmSize 36 phù hợp chiều dài Giày dép là 23.0 cmSize 37 phù hợp chiều dài Giày dép là 23.5 cmSize 38 phù hợp chiều dài...,59000,59000,,0,0,11,,available,,1000,1000,,111461,OEM
252824034,6711683258163,"        Được mệnh danh là những đôi giày ""Biết Thở"" bởi sự thoáng khí, đem lại cảm giác mát mẻ, khô thoáng cho đôi bàn chân.    Giày Urban được làm từ chất liệu EVA PHYLON rất an toàn cho bạn khi...",139000,139000,,0,0,1,,available,,1000,1000,,111461,OEM
79556240,8901296085751,Giày búp bê nữ đẹp vải đi êm chân hài búp bê cao 2cm V275Size 36 phù hợp chiều dài Giày dép là 22.5 cmSize 37 phù hợp chiều dài Giày dép là 23.0 cmSize 38 phù hợp chiều dài Giày dép là 23.5 cmSize...,69000,69000,,0,0,4,,available,,1000,1000,,111461,OEM
